TweetID,Username,CreateDate,Biased,Keyword,Text,IHRA_Decision,IHRA_Explanation,JDA_Decision,JDA_Explanation,IHRA_Binary,JDA_Binary,IHRA_Binary_FP,JDA_Binary_FP,IHRA_Binary_FN,JDA_Binary_FN
1214738916902879233,waybaby,2020-01-08 02:41:41+00:00,0,Israel,"3. Example: In 2012, assassins kill an Iranian nuclear chemist (likely directed by Israel). Iran promises revenge. \n\nWhere does the ultimate revenge take place? \n\nA month later in Georgia, India and Thailand where Israeli diplomats are targeted with bombs\n\nhttps://t.co/qeL7jkzQhd https://t.co/qEkQP7ddG4",Yes,"The tweet in question could be considered antisemitic according to the IHRA definition due to several reasons:

1. **Implication of Jewish Conspiracy**: The narrative suggests that Israel, and by extension Jews as a collective, are conspiring or engaging in covert actions leading to retaliatory violence against them. This plays into the stereotype of Jews wielding disproportionate power or influence, which aligns with the IHRA definition that notes antisemitism may involve attributing sinister stereotypes and negative character traits to Jewish people.

2. **Collective Responsibility**: The tweet seems to imply a form of collective responsibility by connecting actions taken by Israel (assumed in this case) to subsequent attacks on Israeli diplomats. This mirrors the IHRA example where antisemitism involves holding Jews collectively responsible for actions associated with Israel, thereby attributing blame or cause to Jewish people as a whole.

3. **Demonizing Actions**: By linking an act of violence directly to Israel and suggesting it provokes global repercussions specifically targeting Jewish individuals (Israeli diplomats), the tweet can be seen as demonizing Israeli and by extension Jewish actions on an international scale, which fits into the broader pattern of dehumanization or demonization that is characteristic of antisemitic rhetoric.

Overall, while not explicitly using stereotypical language, the insinuations within the context of the tweet align with several criteria outlined in the IHRA definition regarding how Jews are perceived and implicated in global events. Therefore, it can be reasonably interpreted as antisemitic.",No,"** 

The tweet references events involving an Iranian nuclear chemist's assassination, followed by retaliatory actions targeting Israeli diplomats in Georgia, India, and Thailand. To determine if this is antisemitic according to the Jerusalem Declaration on Antisemitism (JDA), we must assess whether it fits any of the criteria outlined:

1. **General Guidelines:**
   - The tweet does not make sweeping negative generalizations about Jews as a whole or essentialize their character traits.
   - It does not associate Jews with evil, nor does it suggest a Jewish conspiracy controlling events.

2. **Manifestation in Words/Deeds:**
   - There is no direct hostility towards Jews or Jewish institutions expressed in the tweet. The focus is on geopolitical actions and consequences rather than attributing any blame to Jewish individuals or groups collectively.
  
3. **Direct or Indirect Speech:**
   - Although it discusses an incident involving Israel, the context does not imply that Jews as a group are responsible for Israel's conduct (as per guideline 7), nor does it suggest negative stereotypes about Jews.

4. **Denial of Holocaust or Distortion of History:**
   - The tweet contains no historical denial or distortion related to the Holocaust or Jewish history.

5. **Israel and Palestine Specific Guidelines:**
   - Applying classical antisemitic symbols or stereotypes (guideline 6) does not occur in this context.
   - While it mentions an event involving Israel, there is no implication of collective responsibility for Jews (guideline 7), nor any requirement for Jews to condemn Israel (guideline 8).
   - The tweet neither denies the right of Jewish people in Israel to exist and flourish (guideline 10) nor engages in other forms of direct or indirect antisemitism.

Overall, while discussing geopolitical tensions involving Israel, the content of this tweet does not align with any antisemitic criteria as defined by the JDA. It focuses on specific incidents without attributing blame to Jewish people collectively or employing antisemitic stereotypes.",1,0,1,0,0,0
1229675902176505856,Julien_MS,2020-02-18 07:55:56+00:00,0,Israel,Israel shot 8 year-old Malek Issa between the eyes after he bought a sandwich from a shop: it was no accident; it's what israeli soldiers do https://t.co/b4pF92eCIB,Yes,"The tweet in question can be considered antisemitic according to the IHRA definition of antisemitism. It makes a mendacious and demonizing allegation about Israel, suggesting that Israeli soldiers deliberately killed an 8-year-old child named Malek Issa as part of their standard behavior. This kind of claim aligns with several key aspects outlined in the IHRA examples of antisemitic manifestations:

1. **Demonization and Dehumanization**: The tweet employs a dehumanizing allegation by implying that Israeli soldiers inherently engage in violent actions against individuals, particularly children. It suggests malice on the part of Israeli forces without evidence, which fits into the category of demonizing Jews or Jewish institutions.

2. **Conspiracy-like Allegations**: By asserting that ""it's what israeli soldiers do,"" the tweet implies a collective behavior akin to conspiracy theories — suggesting a systemic and intentional pattern of violence by Israelis. This aligns with the IHRA's mention of conspiracy theories about Jews as a group.

3. **Double Standards and Exaggeration**: The language in the tweet suggests an exaggerated view of Israeli actions without parallel critique applied to similar situations involving other nations or groups. It implies a standard that is uniquely critical of Israel, which matches the IHRA’s point on applying double standards.

4. **Drawing Analogies with Nazi Behavior**: Although not explicitly stated, such allegations can evoke images of unjust collective blame and historical atrocities, implicitly drawing comparisons between Israeli actions and those of oppressive regimes like Nazi Germany, another example given by the IHRA.

Overall, the tweet uses rhetoric that fits within the patterns of demonization, dehumanization, and conspiratorial thinking identified in the IHRA definition. It portrays Israelis collectively as engaging in morally reprehensible behavior without basis, aligning it with antisemitic attitudes described by the IHRA.",No,"The tweet claims that an Israeli soldier shot an 8-year-old child, Malek Issa, after he bought a sandwich from a shop. According to the Jerusalem Declaration on Antisemitism (JDA), antisemitism involves discrimination or hostility against Jews as Jews, often involving harmful stereotypes or false attributions of collective blame.

The tweet does not mention Jews or Jewish institutions; rather, it criticizes an action purportedly taken by Israeli soldiers, which relates more to a critique of state actions than targeting Jews specifically. This aligns with guideline 13 under section C of the JDA, which states that evidence-based criticism of Israel as a state is not inherently antisemitic. This includes criticisms of its policies and practices.

The tweet does not utilize classical antisemitic symbols or stereotypes (guideline 2), nor does it hold Jews collectively responsible for actions taken by Israeli soldiers (guideline 7). It focuses on an action attributed to the state of Israel, rather than making generalizations about Jewish people. Therefore, while the content is contentious and may be seen as one-sided or inflammatory, it does not meet the criteria outlined in the JDA definition for antisemitism.",1,0,1,0,0,0
1225811967526539265,mirabarhillel,2020-02-07 16:02:02+00:00,0,Israel,"Israel's gunmen turned 155 Gazans into amputees &amp; paralysed 27 in just 2yrs: when specialist treatment was needed, israel forbid that too https://t.co/qZioHeHLpg",Yes,"According to the IHRA working definition of antisemitism, there are specific criteria that identify expressions or actions as antisemitic. The tweet in question accuses Israel's ""gunmen"" of harming Palestinians and then suggests a restriction on medical treatment based on national identity. This raises several points relevant to the IHRA definition:

1. **Targeting the State of Israel**: The tweet targets Israeli military forces (referred to as ""Israel's gunmen"") for their actions in Gaza, attributing harm to Palestinian individuals. According to the IHRA guidelines, criticism of Israel similar to that leveled against any other country is not inherently antisemitic. However, when such criticisms are framed using antisemitic tropes or double standards, they can become antisemitic.

2. **Double Standards**: The tweet implies a critique specific to Israel by suggesting that Israel deliberately forbids medical treatment for those it harmed. This could be interpreted as applying a double standard, wherein the expectation is set uniquely for Israel compared to other nations involved in conflicts, aligning with an IHRA example of antisemitism.

3. **Demonizing Allegations**: Although not overtly dehumanizing or demonizing Jews as individuals or as a collective, the tweet employs negative language toward Israeli forces that might be perceived as part of a broader pattern of hostile actions against Israel. This could contribute to an environment where Jews are stereotypically blamed for policies enacted by their government.

4. **Contextual Consideration**: The context in which this statement is made matters significantly. If part of a consistent narrative that unfairly singles out Israel using antisemitic tropes, such as portraying Israelis or the state in demonizing terms similar to historical stereotypes about Jews, it would reinforce an antisemitic perception.

In summary, while the tweet's primary focus is on Israeli military actions and policy, its framing could be seen as employing double standards specific to Israel, thus aligning with elements of the IHRA definition. Therefore, considering these aspects, the statement can be deemed antisemitic under this framework.",No,"The tweet describes specific actions attributed to ""Israel's gunmen"" and reports on the consequences faced by individuals in Gaza, including becoming amputees or paralysed. According to the Jerusalem Declaration on Antisemitism (JDA), this type of statement does not inherently align with the definition of antisemitism.

1. **Focus on State Actions**: The tweet criticizes actions taken by the state of Israel and its military forces, rather than attributing negative characteristics or blame to Jews as a people or community. Criticism directed at a government's policies or practices is distinct from antisemitic statements that target Jewish individuals or institutions simply because they are Jewish.

2. **Contextual Analysis**: The JDA guidelines specify that criticism of Israel, when it pertains to the state itself and not to Jewish people globally, does not automatically equate to antisemitism (Guideline 13). This type of criticism falls under ""evidence-based criticism of Israel as a state,"" which includes its policies and actions.

3. **Absence of Antisemitic Themes**: The tweet lacks elements that are traditionally associated with antisemitism, such as portraying Jews or Jewish institutions as inherently linked to evil forces, engaging in conspiracy theories about global control, or using anti-Jewish stereotypes. There is no mention of Jewish people having collective responsibility for Israel's actions.

4. **No Collective Blame**: The tweet does not suggest that Jews collectively should be held responsible for the actions of the Israeli state (Guideline 7). It specifically mentions ""Israel's gunmen,"" separating these actions from Jewish individuals or communities as a whole.

In summary, while the content of the tweet is critical of Israel, it does not meet the criteria outlined in the JDA guidelines to be considered antisemitic. The critique focuses on governmental and military actions without implicating Jews as a group in any negative way.",1,0,1,0,0,0
1217914471005544450,nlygo,2020-01-16 21:00:12+00:00,0,Israel,Unbelievable. At Tower Hamlets. Once again anti-Israel Corbynites are attacking the definition of #antisemitism. They just want the right to hate Jews and are unhappy the council disagree with them. Expect trouble this evening. https://t.co/00sd3fxfJb,Yes,"The tweet in question appears to make several assertions that can be interpreted as aligning with the IHRA working definition of antisemitism. Firstly, it implies a collective political association by suggesting that ""anti-Israel Corbynites"" are uniformly against the definition of antisemitism, which could be perceived as an attempt to delegitimize criticism of Israel. The tweet insinuates that those who criticize or oppose the current definition do so out of a desire to ""hate Jews,"" employing a stereotype about motives that can fuel antisemitic sentiment.

Additionally, by stating that these individuals are ""unhappy"" with the council's disagreement and suggesting they ""just want the right to hate Jews,"" it implies an ulterior motive rooted in prejudice against Jewish people. This aligns with IHRA's example of attributing malevolent intent or conspiratorial actions to a group based on stereotypes.

The tweet also indirectly suggests that those opposing the definition are inherently antisemitic, which could contribute to a narrative where criticism is not tolerated unless it aligns with specific definitions and perspectives, potentially stifling legitimate discourse. This can foster an environment where Jews may be collectively held responsible for policies or actions associated with the state of Israel, another element noted in the IHRA examples.

Overall, by linking political opposition to a council's decision on defining antisemitism with the desire to ""hate Jews,"" the tweet indirectly employs stereotypes and demonizing language that can perpetuate antisemitic attitudes. Therefore, it could be considered antisemitic under the IHRA definition.",No,"To determine whether the tweet is antisemitic according to the Jerusalem Declaration on Antisemitism (JDA), we need to analyze it against the provided definition and guidelines. 

1. **Antisemitism Definition**: The JDA defines antisemitism as discrimination, prejudice, hostility, or violence against Jews as Jews (or Jewish institutions as Jewish). It emphasizes that such acts can manifest through words, visual images, or deeds.

2. **Guideline Analysis**:
   - **General Guidelines**: There is no evidence in the tweet of essentializing Jews as having inherent negative traits, nor does it attribute to them the idea of being linked to evil forces, which are key components highlighted in the guidelines for antisemitism.
   
   - **Israel and Palestine Context**: The tweet discusses criticism or opposition related to Israel (""anti-Israel Corbynites""). According to guideline 12, criticizing Zionism or supporting various constitutional arrangements for Jews and Palestinians is not inherently antisemitic. This suggests that expressing opposition to certain political positions regarding Israel does not automatically equate to antisemitism.

   - **Coded Language**: The tweet mentions ""the definition of #antisemitism"" and expresses disagreement with Corbynites about it. While the language implies tension or conflict over this topic, it doesn’t directly use coded speech that associates Jews with negative stereotypes or conspiracies.

3. **Contextual Considerations**:
   - The tweet references political figures (Corbyn) and a specific location (Tower Hamlets), indicating a local political dispute rather than an antisemitic attack.
   - It comments on the disagreement over definitions of antisemitism, which can be contentious but does not in itself constitute antisemitic behavior or speech as defined by JDA.

4. **Conclusion**:
   - While the tweet might express frustration or concern about political disagreements regarding antisemitism, it doesn't fulfill the criteria outlined by the JDA for being classified as antisemitic. There is no direct discrimination, prejudice, hostility, or violence against Jews simply because they are Jewish.
   
Thus, based on the analysis of the tweet through the lens of the JDA guidelines, it does not meet the threshold to be considered antisemitic according to that definition.",1,0,1,0,0,0
1232823577566531585,RealKen_H,2020-02-27 00:23:40+00:00,0,Israel,"@mbueckert Well, investigating Israel hits a little too close to home, it might draw comparisons to Canada’s treatment of Indigenous people’s. And we can’t have that.",Yes,"The tweet in question can be considered antisemitic under the IHRA definition because it implies that criticism or investigation of Israel is inherently problematic by suggesting it could lead to an unfavorable comparison with Canada's treatment of Indigenous people. This suggests a double standard, which is one of the examples listed in the IHRA working definition of antisemitism: ""Applying double standards by requiring of [Israel] a behavior not expected or demanded of any other democratic nation.""

The tweet implies that it might be inappropriate to scrutinize Israel due to potential backlash, which can be seen as protecting Israel from criticism that is typically applied to other nations. By doing so, it indirectly suggests that such scrutiny should be avoided for reasons unrelated to the actual conduct being investigated—here, the hypothetical comparison to Canada's treatment of Indigenous peoples. This aligns with an antisemitic double standard where different criteria are unjustly applied to Israel.

Furthermore, while the tweet does not explicitly accuse Jews or Jewish people as a collective, it engages in rhetoric that can be perceived as minimizing potential issues within Israeli policy by comparing them to historically sensitive and controversial matters like Canada's treatment of Indigenous peoples. This approach may indirectly serve to delegitimize legitimate criticism of Israel by invoking unrelated historical grievances.

Therefore, the content and context of this tweet fall under antisemitic behavior as defined by the IHRA because it implies a protective stance against scrutiny towards Israel that is not similarly applied to other nations, which constitutes applying double standards.",No,"**

The tweet in question compares investigating Israel to Canada’s treatment of Indigenous people, suggesting a potential similarity between these situations. According to the Jerusalem Declaration on Antisemitism (JDA), this statement does not inherently meet any criteria outlined for antisemitism.

1. **Context and Nature of Comparison**: The tweet is drawing an analogy between two distinct geopolitical or historical contexts: Israel's actions in relation to Palestinians and Canada’s treatment of Indigenous peoples. Such comparisons are common in political discourse and do not, on their own, constitute antisemitic speech as defined by the JDA.

2. **Absence of Antisemitic Elements**: The tweet does not include elements identified in the guidelines for antisemitism:
   - It does not make essentializing or sweeping negative generalizations about Jews (Guideline 1).
   - There is no linkage to Jews being associated with forces of evil, conspiracy theories, or any form of stereotypical imagery related to wealth, power, or other traditional antisemitic tropes (Guidelines 2 and 3).
   - The statement does not deny or minimize the Holocaust, nor does it involve coded language that implies Jewish control or responsibility for societal issues (Guideline 5).

3. **Israel-Palestine Context**: 
   - The tweet’s focus is on a critical perspective of Israel akin to the treatment of other states' actions in human rights contexts. It aligns with Guideline 13, which acknowledges evidence-based criticism of Israel as not inherently antisemitic.
   - While it compares Israel's situation to that of Canada and Indigenous peoples, this does not fall under guidelines concerning collective responsibility or denial of the right for Jewish existence (Guidelines 7 and 10), nor does it apply negative stereotypes specifically to the State of Israel in a way described in Guideline 6.

4. **Political Criticism**: The tweet falls within the realm of political speech, which is protected even if seen as contentious or reflecting a ""double standard"" (Guideline 15). This type of critique does not automatically translate into antisemitic intent or content.

In summary, the tweet appears to be an expression of political opinion through analogy and does not exhibit any characteristics defined by JDA as antisemitic. Thus, according to the guidelines provided, it is not considered antisemitic.",1,0,1,0,0,0
1296256061117267969,noamb424,2020-08-20 01:21:42+00:00,0,Israel,"@blkwmn4freedom @MoveOn @lsarsour @AndrewBatesNC Then any one clip is irrelevant. Here the Klan comparison works: ""oh I saw that david Duke speech"" would be a weird summary of his hatred. If you're looking to smear *countries* for ""hate speech"" the one we are living in (and china, and Russia) qualify well ahead of Israel",Yes,"The tweet makes a comparison between the alleged ""hate speech"" of countries like China, Russia, and Israel, suggesting that the latter is less problematic in this regard. This can be seen as applying double standards to Israel by implying it should be held to different expectations regarding hate speech compared to other nations. According to the IHRA working definition, applying double standards by requiring of Israel behavior not expected or demanded of any other democratic nation constitutes antisemitism.

Furthermore, the tweet uses a comparison with the Ku Klux Klan (Klan) and David Duke, which are historically associated with extreme racism and antisemitism. Such comparisons can evoke classic antisemitic tropes by indirectly suggesting that Israeli policies or rhetoric are akin to those of historically notorious hate groups known for their violent antisemitic activities.

Additionally, by dismissing the relevance of specific instances (""any one clip is irrelevant"") in evaluating Israel's role in ""hate speech,"" while simultaneously lumping it together with China and Russia, the tweet risks implying a collective responsibility or negative characterization of Israelis or the state itself. This aligns with the IHRA definition regarding holding Jews collectively responsible for actions related to the state of Israel.

Overall, the language and implications within the tweet can be interpreted as antisemitic based on the examples provided by the IHRA working definition, especially in terms of applying double standards and using historically loaded comparisons that evoke antisemitic stereotypes.",No,"The tweet in question compares Israel to other countries like China and Russia regarding accusations of ""hate speech."" According to the Jerusalem Declaration on Antisemitism (JDA), antisemitic behavior includes using classic stereotypes or symbols against Jews or Israel, holding Jews collectively responsible for actions of the state of Israel, or denying the right of Jewish people in Israel to exist. This tweet does not employ any traditional antisemitic tropes or symbols. It also does not hold all Jews globally accountable for the policies of the Israeli government.

The comparison appears to be a political statement critiquing multiple countries equally, suggesting that these nations are more culpable for hate speech than Israel without targeting Jewish people as a whole. As such, it aligns with guideline C13 from JDA, which acknowledges that evidence-based criticism of Israel or its policies is not inherently antisemitic. The tweet is framed in the context of discussing countries and their political behaviors rather than attributing negative characteristics to Jews as a group.

Therefore, while some might find this comparison contentious or disagreeable based on their views about Israeli politics, according to JDA's guidelines, it does not qualify as antisemitic. It falls under legitimate critique and discussion within the parameters of acceptable criticism of state actions and policies.",1,0,1,0,0,0
1271801298334121984,bhindiboi,2020-06-13 13:47:13+00:00,0,Israel,israel is set to begin annexing over THIRTY PERCENT of the west bank in less than three weeks. i don’t wanna hear SHIT from liberal zionists pretending to care while actively supporting a state and ideology whose very core principle is land theft.,Yes,"The tweet contains elements that align with the IHRA definition of antisemitism, specifically through its language and implications. While it addresses a political issue concerning Israel's potential annexation of territory in the West Bank, several aspects indicate an antisemitic underpinning:

1. **Double Standards**: The tweet accuses ""liberal zionists"" of hypocrisy for supporting both a liberal agenda and the state of Israel, suggesting that their support is insincere due to Israel's policies. This may imply a double standard by critiquing Israeli actions more harshly than similar actions by other countries.

2. **Negative Characterization**: By describing the core principle of Zionism as ""land theft,"" it employs negative stereotypes about Jewish people and Israeli citizens, potentially dehumanizing them by attributing inherently malicious intentions to their ideology and statehood.

3. **Collective Responsibility**: The tweet implies collective responsibility by attacking supporters of Israel (""liberal zionists"") alongside the actions of the state itself, suggesting a shared culpability that reflects one aspect of antisemitic rhetoric.

4. **Extremist Tone**: The dismissive and aggressive language (""don’t wanna hear SHIT from liberal zionists"") coupled with strong accusations contributes to an environment where Jews are demonized or dehumanized for political disagreements, aligning with the IHRA's examples of antisemitism in rhetoric.

While the tweet is ostensibly about a political issue, these elements collectively push it into the realm of antisemitism as defined by the IHRA. It combines negative stereotypes and potentially double standards specifically related to Jewish identity and Israeli state actions, thus meeting several criteria outlined in the IHRA's definition.",No,"** According to the Jerusalem Declaration on Antisemitism (JDA) guidelines, antisemitism involves discrimination, prejudice, hostility, or violence against Jews as Jews or Jewish institutions as Jewish. The tweet in question criticizes a political action regarding Israel's potential annexation of parts of the West Bank and targets ""liberal zionists"" who support what the author perceives as land theft by the state.

1. **Target:** The criticism is directed at actions related to Israeli policy (specifically, its territorial ambitions) rather than Jews or Jewish individuals per se. The use of the term ""liberal zionists"" refers to a political stance on Zionism and does not inherently target Jewish people as such.

2. **Content:** The tweet does not employ antisemitic stereotypes or imagery; it instead focuses on political criticism of Israeli policy decisions. According to JDA guidelines, criticizing Israel's policies is not considered antisemitic (Guidelines 13-15).

3. **Context and Judgment:** Although the language used in the tweet (""i don’t wanna hear SHIT"") can be seen as harsh or confrontational, it does not constitute an attack on Jews based on their identity. The tweet remains within the bounds of political speech critiquing state actions, which is protected under JDA guidelines.

4. **Judaism vs. Zionism:** It’s important to distinguish between criticism of the Israeli state and its policies (Zionism) from antisemitic attacks against Jewish people globally. Criticizing Zionist ideology or Israeli policy does not automatically translate into antisemitism unless it involves harmful stereotypes about Jews as a group.

In summary, while the tweet may express strong opposition to certain political actions and ideologies associated with Israel, it does not meet the criteria for antisemitism under the JDA guidelines because it doesn't attribute negative characteristics or intentions inherently to Jewish people.",1,0,1,0,0,0
1288369753346707456,Louismoreira,2020-07-29 07:04:20+00:00,0,Israel,"Israel is ridiculous, antiquated and based on lies about other people's land, Seth Rogen  says, but he's afraid to tell other Jews https://t.co/P1qkt5shx8",Yes,"The tweet in question expresses criticism of Israel using language that could be perceived as targeting the Jewish state as a Jewish collectivity, which is one potential manifestation of antisemitism according to the IHRA definition. Specifically, it describes Israel as ""ridiculous,"" ""antiquated,"" and based on ""lies about other people's land."" This kind of rhetoric can imply that the existence of Israel itself is illegitimate or unjustified, potentially denying the Jewish people their right to self-determination—a point explicitly mentioned in the IHRA definition as an example of antisemitism.

Furthermore, the tweet suggests that Seth Rogen has personal reservations about expressing these views publicly due to his connection with other Jews. This aspect could be seen as implying a stereotype about Jewish people having divided loyalties or pressures, which is also noted in the IHRA examples as potentially antisemitic behavior—specifically, it echoes the idea of holding Jewish individuals accountable for actions perceived to be associated with Israel.

While criticism of Israeli policies is not inherently antisemitic according to the IHRA definition, this tweet crosses into problematic territory by using language that may dehumanize or delegitimize the state of Israel as a whole and imply certain negative stereotypes about Jewish people. Thus, under the IHRA criteria, it can be considered antisemitic.",No,"** According to the Jerusalem Declaration on Antisemitism (JDA), antisemitism involves discrimination, prejudice, hostility, or violence against Jews as Jews (or Jewish institutions as Jewish). The tweet in question makes a political statement about Israel's legitimacy and existence but does not target Jews or Jewish individuals based on their identity. Here’s how it aligns with the JDA guidelines:

1. **General Criticism vs. Antisemitism:** The tweet criticizes the state of Israel, specifically commenting on its basis and claims regarding land, without attributing these views to all Jews as a group. This falls under guideline 13, which states that evidence-based criticism of Israel as a state is not antisemitic in itself.

2. **No Collective Blame or Hostility:** The tweet does not hold Jewish people collectively responsible for the actions or policies of Israel (guideline 7). It criticizes an individual's (Seth Rogen’s) reluctance to express his views, without implying hostility towards Jews as a group.

3. **No Essentializing or Negative Generalizations about Jews:** There are no sweeping negative generalizations made about Jewish people as a whole in the tweet. The criticism is directed at Israel and does not link Jews as a community with evil or conspiratorial motives (guideline 2).

4. **Absence of Antisemitic Symbols or Imagery:** The tweet lacks any symbols, images, or language that are stereotypically associated with antisemitism, such as conspiracy theories or grotesque caricatures (guidelines 3 and 6).

5. **Contextual Judgment:** While the context might be contentious, especially for those who view Israel in a different light, the tweet does not, on its face, meet the criteria of coded speech or hostility towards Jews themselves as per guidelines 4 and 15.

Therefore, based on the JDA definition and guidelines, this tweet is not antisemitic. It constitutes political expression regarding Israel without crossing into discrimination against Jewish people as a community.",1,0,1,0,0,0
1295819985655402496,alahind,2020-08-18 20:28:54+00:00,0,Israel,People can call me what they like. \n\nIsrael should be a pariah state. The fact that it isn’t speaks volumes for the rest of the world. https://t.co/pFBrz3HKav,Yes,"The tweet in question contains language that aligns with several aspects of the IHRA working definition of antisemitism, particularly those related to the targeting of Israel as a Jewish collectivity. According to the IHRA definition, while criticism of Israel similar to that leveled against any other country is not inherently antisemitic, there are specific manifestations and contexts where such criticism can cross into antisemitism.

1. **Targeting Israel as a Jewish Collectivity**: The tweet refers to Israel as a ""pariah state,"" which can be seen as an example of applying double standards or holding Jews collectively responsible for actions attributed to the Israeli government. This aligns with IHRA's point that such criticisms should not be used to delegitimize the existence and right of self-determination of the State of Israel.

2. **Implying Collective Responsibility**: The tweet suggests a form of collective blame by implying that global inaction or leniency towards Israel is indicative of broader complicity or acceptance, indirectly invoking notions of Jewish power or influence that are often present in antisemitic rhetoric.

3. **Contextual Considerations**: While the tweet does not explicitly include other elements from the IHRA definition (such as Holocaust denial or conspiracies), its language and implication can contribute to an environment where Jews are collectively blamed for policies enacted by a state they do not uniformly control.

In summary, although the tweet might be framed as criticism of a country's policies, it crosses into antisemitism when considering the broader implications and context provided by the IHRA definition. It targets Israel in a manner that can contribute to or reflect antisemitic perceptions and stereotypes, particularly by suggesting collective Jewish responsibility and applying double standards.",No,"According to the Jerusalem Declaration on Antisemitism (JDA), antisemitism is defined specifically as discrimination, prejudice, hostility, or violence against Jews because they are Jewish or against Jewish institutions because they are Jewish. In this context, the tweet calling for Israel to be a ""pariah state"" does not directly reference Jews or Jewish people in general but focuses on criticism of the Israeli state itself.

The JDA guidelines acknowledge that it is not inherently antisemitic to criticize the State of Israel (Guideline 13). The statement calls for isolation of Israel due to its policies, which can be considered a form of political protest. This does not automatically equate to an attack on Jewish people as Jews but rather on the actions and policies of a state.

Moreover, while the JDA recognizes that certain forms of criticism may have antisemitic undertones or implications (e.g., when Israel is portrayed with symbols traditionally associated with antisemitism), there's no indication in this tweet of such imagery or language. The call for Israel to be a ""pariah"" does not by itself invoke stereotypes about Jews controlling governments, financial systems, etc., nor does it blame all Jewish people collectively.

However, context and additional content (like the linked material) could potentially reveal more nuances. If the criticism were presented alongside coded antisemitic language or imagery outside of this specific statement, a different evaluation might be necessary. In its current form, without further context suggesting hostility towards Jews as an ethnic or religious group, the tweet does not meet the JDA's definition of antisemitism.",1,0,1,0,0,0
1259578453923332096,sinanyavastwitt,2020-05-10 20:17:59+00:00,0,Israel,Israel has never yet been held accountable by the int'l community for its war crimes — an investigation would be unprecedented #BDS https://t.co/EKGzbHfaTj,Yes,"**

The tweet in question suggests that ""Israel has never yet been held accountable by the int'l community for its war crimes — an investigation would be unprecedented #BDS."" This statement aligns with several aspects of the IHRA working definition of antisemitism, particularly when considering contemporary examples provided:

1. **Double Standards:** The tweet implies a demand for Israel to be held accountable in a manner not typically expected or demanded from other democratic nations. By suggesting that an investigation into Israeli actions would be unprecedented, it may imply that such scrutiny is uniquely applied to Israel and not comparable situations involving other countries.

2. **Denying the Right to Self-Determination:** The call for accountability framed in terms of ""war crimes"" can contribute to a narrative that questions or undermines the legitimacy of Israel's right to exist as a state. This aligns with denying the Jewish people their right to self-determination, which is considered antisemitic under the IHRA definition.

3. **Criminalizing Legitimate Political Activity:** While the tweet itself does not call for violence or criminal activity, its alignment with the Boycott, Divestment, Sanctions (BDS) movement can be controversial. The BDS movement has been critiqued by some as being a platform that may foster antisemitic attitudes when it targets Israel uniquely and denies its right to exist.

4. **Historical Context:** The phrase ""war crimes"" is loaded with historical connotations, especially in the context of Jewish history and the Holocaust. This can evoke negative stereotypes and implications about collective guilt or responsibility, which are highlighted as antisemitic under the IHRA definition when used against Israel.

Given these points, the tweet demonstrates characteristics that align with patterns of antisemitism as outlined by the IHRA working definition, particularly through the application of double standards and questioning the legitimacy of the State of Israel.",No,"DECISION: No

EXPLICATION: 

The tweet in question states, ""Israel has never yet been held accountable by the int'l community for its war crimes — an investigation would be unprecedented #BDS."" To determine whether this is antisemitic according to the Jerusalem Declaration on Antisemitism (JDA), we need to evaluate it against the guidelines provided:

1. **Guideline 13** of the JDA clarifies that evidence-based criticism of Israel as a state, including its policies and practices, is not inherently antisemitic. This includes discussions about its actions in the West Bank and Gaza or its role in the region.

2. The tweet critiques Israel's accountability for alleged ""war crimes,"" suggesting an investigation should occur. This falls under political speech concerning the conduct of a state, which is explicitly covered as permissible criticism in Guideline 13.

3. **Guideline 14** states that boycotts, divestment, and sanctions are recognized forms of non-violent protest against states and are not antisemitic per se. The tweet includes the #BDS hashtag, which aligns with this guideline by implying support for a form of political activism rather than targeting Jews.

4. **Guideline 15** supports that even contentious or seemingly excessive criticism is protected under human rights instruments and does not automatically equate to antisemitism.

The tweet does not include any language or imagery associated with classical antisemitic stereotypes (as outlined in Guideline 2). It also does not hold Jews collectively responsible for the actions of Israel, a key aspect described as antisemitic in Guideline 7. The focus is on state-level accountability rather than attributing blame to Jewish people individually or collectively.

Therefore, according to the JDA guidelines, the tweet is an expression of political criticism and advocacy without crossing into antisemitism. It adheres to accepted norms for debate about state actions and policies, particularly concerning Israel and Palestine.",1,0,1,0,0,0
